A_Y_value,B_Y_value,C_Y_value,D_Y_value,E_Y_value,F_Y_value,G_Y_value,H_Y_value,I_Y_value,J_Y_value,
0.659699,0.567846,0.519746,0.579635,0.523639,0.451695,0.845283,0.727034,0.542537,0.69957,
0.460126,0.559733,1.06118,0.950089,0.522368,0.702516,0.598239,0.580048,0.78645,0.615716,
0.504731,0.568331,0.560497,0.758051,0.595553,0.592389,0.785433,0.62896,0.578064,0.592303,
0.530366,0.598741,0.498343,0.73734,0.640385,0.642115,0.544556,0.807487,0.487774,0.654593,
0.514069,0.555643,1.03562,0.594345,0.686775,0.736661,0.684704,0.433997,0.51606,0.796803,
0.501557,0.491335,0.496932,0.620576,0.599706,0.575615,0.834443,0.588167,0.688732,0.883036,
0.549902,0.712966,0.521249,0.744419,0.695963,0.595815,0.626883,0.505993,0.611132,0.55258,
0.630501,0.650969,0.627971,0.649276,0.490316,0.537473,0.486658,0.535742,0.531475,0.467875,
0.653749,0.619842,0.576212,0.509623,0.615602,0.63998,0.510845,1.11667,0.54661,0.66216,
0.567798,0.582087,0.761882,0.535216,0.597676,0.667596,0.489721,0.680192,0.549851,0.558993,
0.633959,0.53427,0.522605,0.575788,0.66352,0.490951,0.627005,0.598432,0.579982,0.532362,
1.1947,0.572936,0.543355,0.660577,0.50286,0.500065,0.575969,0.570593,0.474561,1.39983,
0.637934,0.474022,0.750228,0.510427,0.900588,0.587688,0.683455,0.652058,0.539612,0.587812,
0.940624,0.635603,0.631932,0.565364,0.574934,0.568485,0.608575,0.564138,0.594668,0.466262,
0.486584,0.689559,0.560942,0.514069,0.622212,0.716972,0.707897,0.527854,0.534955,0.498111,
0.729108,0.82677,0.701148,0.68612,0.787074,0.707524,0.630194,0.637215,0.517196,0.834443,
0.533119,0.601155,0.718311,0.480523,0.585708,0.50939,0.537667,0.565796,0.63894,0.887046,
0.608847,0.583432,0.532472,0.560304,0.522261,0.643367,0.577989,0.508219,0.537971,0.526424,
0.505962,0.525832,0.659425,0.469061,0.661402,0.660006,0.472382,0.652333,0.650452,0.572848,
0.58674,0.682494,0.610681,0.616988,0.64079,0.467747,0.65886,0.611689,0.62712,0.47684,
0.62150375,0.6016783,0.64453655,0.61588955,0.6214666,0.5997025,0.6243379,0.62463085,0.5767071,0.66328035,0.619373345
